stem_path,match_key,score,tags
/Volumes/T7 Shield/3000AD/alldj_stem_separated/Acceptable in the 80's_(Instrumental).flac,acceptable in the 80's,1.000,electronic-dance; nostalgic-hit; instant-dancefloor; retro-modern; beatmatched-friendly; vocal-minimal; warm-analog; instant-impact; rhythmic-foundation; crowd-pleaser; long-intro; vintage-revival; body-mover; punchy-dynamics; mashup-ready
/Volumes/T7 Shield/3000AD/alldj_stem_separated/'Cause I'm A Man_(Vocals).flac,'cause i'm a man,1.000,rock-indie; retro-modern; emotional-depth; warm-analog; slow-burn; vocal-prominent; harmony-rich; melodic-overlay; filter-friendly; head-nodder; comedown; generational-bridge; adds-depth
/Volumes/T7 Shield/3000AD/alldj_stem_separated/'Cause I'm A Man_(Instrumental).flac,'cause i'm a man,1.000,rock-indie; retro-modern; emotional-depth; warm-analog; slow-burn; vocal-prominent; harmony-rich; melodic-overlay; filter-friendly; head-nodder; comedown; generational-bridge; adds-depth
/Volumes/T7 Shield/3000AD/alldj_stem_separated/'Til It's Over_(Vocals).flac,'til it's over,1.000,sophisticated-groove; vocal-prominent; contemporary-classic; euphoric-melody; lifts-mood; slow-burn; warm-up; layer-friendly; lush; pop-sophisticated; body-mover; smooth-transitions
/Volumes/T7 Shield/3000AD/alldj_stem_separated/'Til It's Over_(Instrumental).flac,'til it's over,1.000,sophisticated-groove; vocal-prominent; contemporary-classic; euphoric-melody; lifts-mood; slow-burn; warm-up; layer-friendly; lush; pop-sophisticated; body-mover; smooth-transitions
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(Aquarius) Der Wassermann_(Vocals).flac,(aquarius) der wassermann,1.000,nostalgic-hit; boomer-classic; rock-classic; lifts-mood; vocal-prominent; warm-analog; head-nodder; layer-friendly; generational-bridge; instant-impact; harmonic-surprise; short-intro
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(What A) Wonderful World_(Vocals).flac,(what a) wonderful world,1.000,nostalgic-hit; vocal-magic; timeless-classic; boomer-classic; lifts-mood; crowd-pleaser; sing-along-potential; warm-analog; instant-impact; transition-tool; generational-bridge; body-mover
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(Aquarius) Der Wassermann_(Instrumental).flac,(aquarius) der wassermann,1.000,nostalgic-hit; boomer-classic; rock-classic; lifts-mood; vocal-prominent; warm-analog; head-nodder; layer-friendly; generational-bridge; instant-impact; harmonic-surprise; short-intro
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(Sittin' On) the Dock of the Bay_(Vocals).flac,(sittin' on) the dock of the bay,1.000,nostalgic-hit; emotional-depth; vocal-magic; anchor-track; vocal-prominent; timeless-classic; provides-release; cool-down; comedown; layer-friendly; warm-analog; boomer-classic; mainstream-crossover; steady; generational-bridge
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(Sittin' On) the Dock of the Bay_(Instrumental).flac,(sittin' on) the dock of the bay,1.000,nostalgic-hit; emotional-depth; vocal-magic; anchor-track; vocal-prominent; timeless-classic; provides-release; cool-down; comedown; layer-friendly; warm-analog; boomer-classic; mainstream-crossover; steady; generational-bridge
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(They Long To Be) Close To You_(Vocals).flac,(they long to be) close to you,1.000,nostalgic-hit; vocal-magic; emotional-depth; harmony-rich; timeless-classic; boomer-classic; cool-down; non-danceable-standalone; warm-analog; slow-burn; bridge-element; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(They Long To Be) Close To You_(Instrumental).flac,(they long to be) close to you,1.000,nostalgic-hit; vocal-magic; emotional-depth; harmony-rich; timeless-classic; boomer-classic; cool-down; non-danceable-standalone; warm-analog; slow-burn; bridge-element; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/4th Dimensional Transition_(Vocals).flac,th dimensional transition ( ),0.880,psychedelic-journey; rock-psychedelic; indie-cred; energy-weaver; vocal-prominent; harmony-rich; retro-modern; dense-production; wildcard; mind-expanding; breakdown-rich; head-nodder; harmonic-surprise; emotional-rollercoaster
/Volumes/T7 Shield/3000AD/alldj_stem_separated/(What A) Wonderful World_(Instrumental).flac,(what a) wonderful world,1.000,nostalgic-hit; vocal-magic; timeless-classic; boomer-classic; lifts-mood; crowd-pleaser; sing-along-potential; warm-analog; instant-impact; transition-tool; generational-bridge; body-mover
/Volumes/T7 Shield/3000AD/alldj_stem_separated/5 a.m_(Vocals).flac,a m,1.150,nostalgic-hit; harmony-rich; vocal-magic; textural-beauty; timeless-classic; warm-analog; melodic-overlay; palate-cleanser; adds-depth; layer-friendly; slow-burn; vintage-revival
/Volumes/T7 Shield/3000AD/alldj_stem_separated/4th Dimensional Transition_(Instrumental).flac,th dimensional transition ( ),0.880,psychedelic-journey; rock-psychedelic; indie-cred; energy-weaver; vocal-prominent; harmony-rich; retro-modern; dense-production; wildcard; mind-expanding; breakdown-rich; head-nodder; harmonic-surprise; emotional-rollercoaster
/Volumes/T7 Shield/3000AD/alldj_stem_separated/5 a.m_(Instrumental).flac,a m,1.150,nostalgic-hit; harmony-rich; vocal-magic; textural-beauty; timeless-classic; warm-analog; melodic-overlay; palate-cleanser; adds-depth; layer-friendly; slow-burn; vintage-revival
/Volumes/T7 Shield/3000AD/alldj_stem_separated/15 Step_(Vocals).flac,15 step,1.000,rock-indie; experimental; sophisticated-groove; vocal-prominent; driving; contemporary-classic; energy-injector; layer-friendly; beatmatched-friendly; adds-depth
/Volumes/T7 Shield/3000AD/alldj_stem_separated/15 Step_(Instrumental).flac,15 step,1.000,rock-indie; experimental; sophisticated-groove; vocal-prominent; driving; contemporary-classic; energy-injector; layer-friendly; beatmatched-friendly; adds-depth
/Volumes/T7 Shield/3000AD/alldj_stem_separated/40 Day Dream_(Vocals).flac,40 day dream,1.000,rock-indie; folk-modern; nostalgic-hit; retro-modern; vocal-magic; harmony-rich; lifts-mood; crowd-pleaser; sing-along-potential; bridge-element; warm-analog; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/40 Day Dream_(Instrumental).flac,40 day dream,1.000,rock-indie; folk-modern; nostalgic-hit; retro-modern; vocal-magic; harmony-rich; lifts-mood; crowd-pleaser; sing-along-potential; bridge-element; warm-analog; layer-friendly
/Volumes/T7 Shield/3000AD/alldj_stem_separated/50 Ways to Leave Your Lover_(Vocals).flac,50 ways to leave your lover,1.000,warm-analog; funny
/Volumes/T7 Shield/3000AD/alldj_stem_separated/212_(Vocals).flac,212,0.950,instant-impact; crowd-pleaser; vocal-prominent; crisp-digital; genre-crossover; peak-time; drop-heavy; wildcard; instant-dancefloor; attention-grabber; hip-hop-experimental; energy-injector; mashup-ready; rhythmic-foundation
/Volumes/T7 Shield/3000AD/alldj_stem_separated/50 Ways to Leave Your Lover_(Instrumental).flac,50 ways to leave your lover,1.000,warm-analog; funny
/Volumes/T7 Shield/3000AD/alldj_stem_separated/212_(Instrumental).flac,212,0.950,instant-impact; crowd-pleaser; vocal-prominent; crisp-digital; genre-crossover; peak-time; drop-heavy; wildcard; instant-dancefloor; attention-grabber; hip-hop-experimental; energy-injector; mashup-ready; rhythmic-foundation
/Volumes/T7 Shield/3000AD/alldj_stem_separated/435_(Vocals).flac,435,0.950,hip-hop-experimental; nostalgic-hit; head-nodder; retro-modern; transition-tool; warm-analog; loop-gold; gritty-texture; instant-impact; full-energy-start; wildcard
/Volumes/T7 Shield/3000AD/alldj_stem_separated/435_(Instrumental).flac,435,0.950,hip-hop-experimental; nostalgic-hit; head-nodder; retro-modern; transition-tool; warm-analog; loop-gold; gritty-texture; instant-impact; full-energy-start; wildcard
/Volumes/T7 Shield/3000AD/alldj_stem_separated/1612_(Vocals).flac,1612,1.000,sophisticated-groove; vocal-prominent; retro-modern; lifts-mood; instant-impact; peak-time; beatmatched-friendly; instant-dancefloor; warm-analog; crowd-pleaser; rhythmic-foundation; jazz-influenced
/Volumes/T7 Shield/3000AD/alldj_stem_separated/1612_(Instrumental).flac,1612,1.000,sophisticated-groove; vocal-prominent; retro-modern; lifts-mood; instant-impact; peak-time; beatmatched-friendly; instant-dancefloor; warm-analog; crowd-pleaser; rhythmic-foundation; jazz-influenced
